ATG Split Squat	Quadriceps, Adductors, Gluteals, Calves
Bird Dog	Back (Lower)
Cable External Rotation 	Rotator Cuff
Chest Supported Row	Latissimus Dorsi, Trapezius, Back (Lower), Biceps
Cross Bench Lat Pullover	Latissimus Dorsi
Dumbbell Incline Bench Press	Pectorals, Deltoids, Triceps
Elevated Reverse Lunge	Gluteals, Adductors, Quadriceps, Calves
Face Pull	Deltoids, Trapezius, Rotator Cuff
Hamstring Curl	Hamstrings, Calves
Hip Abduction 	Abductors
Hip Adduction	Adductors
Hyperextension	Back (Lower), Gluteals, Hamstrings
Lat Pulldown	Latissimus Dorsi, Biceps, Trapezius, Back (Lower), Forearms
Leg Press	Gluteals, Hamstrings, Quadriceps, Calves
Machine Lateral Raise	Deltoids
Machine Overhead Press	Deltoids, Pectorals, Triceps, Trapezius
QL Raise	Quadratus Lumborum
Reverse Sled	Cardio, Quadriceps
Romanian Deadlift (RDL)	Back (Lower), Hamstrings, Trapezius, Abdominals (Upper), Abdominals (Lower), Gluteals, Forearms
Seated Calf Raise	Calves
Side Lying Lateral Raise	Deltoids
Side Plank	Abductors, Obliques
Slow Scissors	Abdominals (Lower), Hip Flexors
Suitcase Carry	Forearms, Trapezius, Quadratus Lumborum
Tibialis Raise	Tibialis
