WH Exercise	PIT Exercise	Equipment	Notes
Reverse Sled	Jump Rope	None	Cardio replacement
Cable External Rotation	Shoulder External Rotation	Double Dumbbell	From back rehab doc
Chest Supported Row	Bird Dog Row	Single Dumbbell	Single-arm row from bird dog position, back-friendly
Face Pull	Trap 3 Raise	Double Dumbbell	From ATG standards and back rehab doc. Trapezius and rear delt focused
Hamstring Curl	Monkey Foot Curl	None	Using monkey feet attachment
Hip Abduction	Hip Abduction (Monkey Feet)	None	Standing abduction with monkey feet
Hip Adduction	Copenhagen Plank	None	Single leg side plank progression
Hyperextension	Hyperextension	Machine	Already have the machine, using reps instead of time
Lat Pulldown	Pull-up	None	Or ring rows as regression
Leg Press	Poliquin Step-Up	Single Dumbbell	Low box (3-4"), heel elevated, glute-focused. From ATG standards
Machine Lateral Raise	Dumbbell Lateral Raise	Double Dumbbell	Standard lateral raise
Machine Overhead Press	Overhead Press	Barbell	ATG Shoulder Press from standards
Seated Calf Raise	Single-Leg Calf Raise	Single Dumbbell	From ATG standards
Tibialis Raise	Tibialis Raise (Monkey Feet)	None	Using monkey feet attachment
