Exercise	Equipment
ATG Split Squat	Single Dumbbell
Bird Dog	None
Bird Dog Row	Single Dumbbell
Copenhagen Plank	None
Cross Bench Lat Pullover	Single Dumbbell
Dumbbell Incline Bench Press	Double Dumbbell
Dumbbell Lateral Raise	Double Dumbbell
Elevated Reverse Lunge	Single Dumbbell
Hip Abduction (Monkey Feet)	None
Hyperextension	Machine
Jump Rope	None
Monkey Foot Curl	None
Overhead Press	Barbell
Poliquin Step-Up	Single Dumbbell
Pull-up	None
QL Raise	None
Romanian Deadlift (RDL)	Barbell
Shoulder External Rotation	Double Dumbbell
Side Lying Lateral Raise	Single Dumbbell
Side Plank	None
Single-Leg Calf Raise	Single Dumbbell
Slow Scissors	None
Suitcase Carry	Single Dumbbell
Tibialis Raise (Monkey Feet)	None
Trap 3 Raise	Double Dumbbell
