ATG Split Squat	Quadriceps	Adductors, Gluteals, Calves
Bird Dog	Back (Lower)	
Bird Dog Row	Latissimus Dorsi	Trapezius, Back (Lower), Biceps
Copenhagen Plank	Adductors	
Cross Bench Lat Pullover	Latissimus Dorsi	
Dumbbell Incline Bench Press	Pectorals	Deltoids, Triceps
Dumbbell Lateral Raise	Deltoids	
Elevated Reverse Lunge	Gluteals	Adductors, Quadriceps, Calves
Hip Abduction (Monkey Feet)	Abductors	
Hyperextension	Back (Lower)	Gluteals, Hamstrings
Jump Rope	Cardio	Quadriceps
Monkey Foot Curl	Hamstrings	Calves
Overhead Press	Deltoids	Pectorals, Triceps, Trapezius
Poliquin Step-Up	Gluteals	Hamstrings, Quadriceps, Calves
Pull-up	Latissimus Dorsi	Biceps, Trapezius, Back (Lower), Forearms
QL Raise	Quadratus Lumborum	
Romanian Deadlift (RDL)	Back (Lower)	Hamstrings, Trapezius, Abdominals (Upper), Abdominals (Lower), Gluteals, Forearms
Shoulder External Rotation	Rotator Cuff	
Side Lying Lateral Raise	Deltoids	
Side Plank	Abductors	Obliques
Single-Leg Calf Raise	Calves	
Slow Scissors	Abdominals (Lower)	Hip Flexors
Suitcase Carry	Forearms	Trapezius, Quadratus Lumborum
Tibialis Raise (Monkey Feet)	Tibialis	
Trap 3 Raise	Deltoids	Trapezius, Rotator Cuff
